sol.name	symbol	entrez	transcript
ANPEP_1_11111	ANPEP	290	NM_001150.2
ANTXR1_1_10111	ANTXR1	84168	NM_018153.3;NM_032208.2;NM_053034.2
ANTXR2_1_01101	ANTXR2	118429	NM_001145794.1;NM_058172.5
ANXA1_1_0111	ANXA1	301	NM_000700.1
ANXA3_1_11111	ANXA3	306	NM_005139.2
ANXA4_1_01011	ANXA4	307	NM_001153.3
ANXA7_1_10110	ANXA7	310	NM_001156.3;NM_004034.2
ANXA8L1_1_111	ANXA8L1	728113	NM_001098845.1
ANXA8L2_1_1110	ANXA8L2	728113	NM_001630.2
ANXA8_1_1110	ANXA8	653145	NM_001040084.1
AOC2_1_1101	AOC2	314	NM_001158.3;NM_009590.2
AOC3_1_11100	AOC3	8639	NM_003734.2
AOX1_1_11011	AOX1	316	NM_001159.3
AP1G1_1_11110	AP1G1	164	NM_001030007.1;NM_001128.5
AP1S2_1_01010	AP1S2	8905	NM_003916.3
AP1S3_1_1000010	AP1S3	130340	NM_001039569.1
AP2M1_1_10011	AP2M1	1173	NM_001025205.1;NM_004068.3
AP2S1_1_00011	AP2S1	1175	NM_004069.3;NM_021575.2
AP3B1_1_01011	AP3B1	8546	NM_003664.3
AP3D1_1_01011	AP3D1	8943	NM_001077523.1;NM_003938.5
AP3M1_1_1100000	AP3M1	26985	NM_012095.4;NM_207012.2
AP3M2_1_01010	AP3M2	10947	NM_001134296.1;NM_006803.3
AP3S1_1_11000	AP3S1	1176	NM_001284.2
AP3S2_1_001101	AP3S2	10239	NM_005829.4;NR_023361.1;NR_037582.1
AP3S2_2_110010	AP3S2	10239	NM_005829.4;NR_023361.1;NR_037582.1;NR_037582.1
AP4S1_1_01110	AP4S1	11154	NM_001128126.2;NM_001254726.1;NM_001254727.1;NM_001254728.1;NM_001254729.1;NM_007077.4
AP5B1_1_11	AP5B1	91056	NM_138368.4
APAF1_1_100001	APAF1	317	NM_001160.2;NM_013229.2;NM_181861.1;NM_181868.1;NM_181869.1
APBB1_1_1011	APBB1	322	NM_001164.2;NM_145689.1
APBB3_1_1111	APBB3	10307	NM_006051.3;NM_133172.2;NM_133173.2;NM_133174.2
APC_1_1010001	APC	324	NM_000038.5;NM_001127510.2;NM_001127511.2
APEX1_1_1101	APEX1	328	NM_001244249.1;NM_001641.3;NM_080648.2;NM_080649.2
API5_1_10010	API5	8539	NM_001142930.1;NM_001142931.1;NM_006595.3;NR_024625.1;NM_001243747.1
APLP1_1_1101	APLP1	333	NM_001024807.1;NM_005166.3
APOA2_1_10001	APOA2	336	NM_001643.1
APOA2_2_01110	APOA2	336	NM_001643.1
APOA5_1_10010	APOA5	116519	NM_001166598.1;NM_052968.4
APOBEC3F_1_101011	APOBEC3F	200316	NM_145298.5
APOBEC3G_1_011111	APOBEC3G	60489	NM_021822.3
APOBEC3H_1_11111	APOBEC3H	164668	NM_001166002.1;NM_001166003.1;NM_181773.3;NM_001166004.1;NM_001166004.1;NM_001166004.1
APOC3_1_0011	APOC3	345	NM_000040.1
APOH_1_01101	APOH	350	NM_000042.2
APOM_1_1100	APOM	55937	NM_001256169.1;NM_019101.2;NR_045828.1
APOO_1_00110	APOO	79135	NM_024122.4;NR_026545.2
APOPT1_1_11	APOPT1	84334	NM_032374.3
APPBP2_1_01101	APPBP2	10513	NM_006380.2
AQP12A_1_00111	AQP12A	375318	NM_198998.1
AQP3_1_1011	AQP3	360	NM_004925.4
AQR_1_11111	AQR	9716	NM_014691.2
ARAP1_1_1100111101	ARAP1	116985	NM_001040118.2;NM_001135190.1;NM_015242.4
ARAP3_1_11011	ARAP3	64411	NM_022481.5
ARCN1_1_001110	ARCN1	372	NM_001142281.1;NM_001655.4
ARF1_1_011011	ARF1	375	NM_001024226.1;NM_001024227.1;NM_001024228.1;NM_001658.3
ARF4_1_0110	ARF4	378	NM_001660.3
ARF5_1_11101	ARF5	381	NM_001662.3
ARFGAP3_1_01101	ARFGAP3	26286	NM_014570.4;NM_001142293.1;NM_001142293.1
ARG1_1_00011	ARG1	383	NM_000045.3;NM_001244438.1
ARG2_1_1110	ARG2	384	NM_001172.3
ARGFX_1_11	ARGFX	503582	NM_001012659.1
ARHGAP15_1_11000	ARHGAP15	55843	NM_018460.3
ARHGAP17_1_11111	ARHGAP17	55114	NM_001006634.1;NM_018054.4
ARHGAP1_1_1111	ARHGAP1	392	NM_004308.2
ARHGAP20_1_10010	ARHGAP20	57569	NM_020809.2
ARHGAP24_1_01101	ARHGAP24	83478	NM_001025616.2;NM_001042669.1;NM_031305.2
ARHGAP26_1_011110	ARHGAP26	23092	NM_001135608.1;NM_015071.4
ARHGAP29_1_11111	ARHGAP29	9411	NM_004815.3
ARHGAP35_1_11111	ARHGAP35	2909	NM_004491.4
ARHGAP39_1_1100	ARHGAP39	80728	NM_025251.1
ARHGDIB_1_11011	ARHGDIB	397	NM_001175.4
ARHGDIG_1_11111	ARHGDIG	398	NM_001176.3
ARHGEF12_1_11111	ARHGEF12	23365	NM_001198665.1;NM_015313.2
ARHGEF15_1_10110	ARHGEF15	22899	NM_025014.1;NM_173728.3
ARHGEF19_1_11100	ARHGEF19	128272	NM_153213.3
ARHGEF1_1_0110	ARHGEF1	9138	NM_004706.3;NM_198977.1;NM_199002.1
ARHGEF25_1_01101	ARHGEF25	115557	NM_001111270.2;NM_182947.3;NR_046223.1
ARHGEF2_1_1110	ARHGEF2	9181	NM_001162383.1;NM_001162384.1;NM_004723.3
ARHGEF3_1_1111	ARHGEF3	50650	NM_001128615.1;NM_001128616.1;NM_019555.2
ARHGEF4_1_1111	ARHGEF4	50649	NM_015320.2;NM_032995.1
ARID1A_1_1101	ARID1A	8289	NM_006015.4;NM_139135.2
ARID1B_1_0111	ARID1B	57492	NM_017519.2;NM_020732.3
ARID3A_1_1101	ARID3A	1820	NM_005224.2
ARID4A_1_0111	ARID4A	5926	NM_002892.3;NM_023000.2;NM_023001.2
ARIH1_1_01010	ARIH1	25820	NM_005744.3
ARIH1_2_10101	ARIH1	25820	NM_005744.3
ARL13B_1_11010	ARL13B	200894	NM_001174150.1;NM_001174151.1;NM_144996.3;NM_182896.2;NR_033427.1
ARL16_1_11	ARL16	339231	NM_001040025.1
ARL1_1_01011	ARL1	400	NM_001177.4
ARL2-SNX15_1_1101100	ARL2-SNX15	100528018	NR_037650.1
ARL3_1_00111	ARL3	403	NM_004311.3
ARL9_1_01010	ARL9	132946	NM_206919.1
ARNTL_1_11101	ARNTL	406	NM_001030272.1;NM_001030273.1;NM_001178.4
